model_tag,template,tense,syntactic_role,semantic_role,valence,dominance,verb,profession,frequency,lex_emb_norm,prefix,he_prob,she_prob,he_she_odds_ratio,log_he_she_odds,log_frequency
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,phone,colonel,4215,-0.1250014016424048,"A colonel phoned a parent. As for the colonel,",0.3964537680149078,0.0654518529772758,6.0571818351745605,1.801244616508484,0.48289800751821654
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,challenge,colonel,4215,-0.1250014016424048,"A colonel challenged a parent. As for the colonel,",0.3989610970020294,0.028971180319786,13.770965576171877,2.6225624084472656,0.48289800751821654
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,surprise,colonel,4215,-0.1250014016424048,"A colonel surprised a parent. As for the colonel,",0.3701551258563995,0.0331003256142139,11.18282413482666,2.414379119873047,0.48289800751821654
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,hypnotize,colonel,4215,-0.1250014016424048,"A colonel hypnotized a parent. As for the colonel,",0.4160321652889251,0.0247228108346462,16.82786750793457,2.823036193847656,0.48289800751821654
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,resurrect,colonel,4215,-0.1250014016424048,"A colonel resurrected a parent. As for the colonel,",0.3667025566101074,0.0411719344556331,8.906614303588867,2.18679428100586,0.48289800751821654
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,agitate,colonel,4215,-0.1250014016424048,"A colonel agitated a parent. As for the colonel,",0.3774914741516113,0.0609067790210247,6.197856426239014,1.8242034912109373,0.48289800751821654
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,shame,colonel,4215,-0.1250014016424048,"A colonel shamed a parent. As for the colonel,",0.395757257938385,0.029847739264369,13.259203910827637,2.584692001342773,0.48289800751821654
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,hate,colonel,4215,-0.1250014016424048,"A colonel hated a parent. As for the colonel,",0.4019230604171753,0.0199356749653816,20.16099548339844,3.0037498474121094,0.48289800751821654
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,bother,colonel,4215,-0.1250014016424048,"A colonel bothered a parent. As for the colonel,",0.4218776822090149,0.0274284351617097,15.381033897399902,2.733135223388672,0.48289800751821654
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,distract,colonel,4215,-0.1250014016424048,"A colonel distracted a parent. As for the colonel,",0.3672085404396057,0.0455744713544845,8.057330131530762,2.08658218383789,0.48289800751821654
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,acknowledge,sergeant,3253,-0.07240069244336324,"A sergeant acknowledged a parent. As for the sergeant,",0.2989819049835205,0.0345023646950721,8.665547370910645,2.1593551635742188,0.35494800967390006
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,intrigue,sergeant,3253,-0.07240069244336324,"A sergeant intrigued a parent. As for the sergeant,",0.3661966621875763,0.0300202332437038,12.198328971862791,2.5012989044189453,0.35494800967390006
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,direct,sergeant,3253,-0.07240069244336324,"A sergeant directed a parent. As for the sergeant,",0.3537653684616089,0.0323098450899124,10.949151039123535,2.3932619094848637,0.35494800967390006
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,compliment,sergeant,3253,-0.07240069244336324,"A sergeant complimented a parent. As for the sergeant,",0.4334453344345093,0.0232854094356298,18.61445999145508,2.923938751220703,0.35494800967390006
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,commend,sergeant,3253,-0.07240069244336324,"A sergeant commended a parent. As for the sergeant,",0.3841789066791534,0.0292136222124099,13.150676727294922,2.5764732360839844,0.35494800967390006
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,alarm,sergeant,3253,-0.07240069244336324,"A sergeant alarmed a parent. As for the sergeant,",0.3587407171726227,0.0271645635366439,13.206201553344728,2.580686569213867,0.35494800967390006
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,intimidate,sergeant,3253,-0.07240069244336324,"A sergeant intimidated a parent. As for the sergeant,",0.3126382827758789,0.0235731601715087,13.262468338012695,2.5849380493164062,0.35494800967390006
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,rush,sergeant,3253,-0.07240069244336324,"A sergeant rushed a parent. As for the sergeant,",0.3697889745235443,0.0237348768860101,15.579983711242676,2.7459869384765625,0.35494800967390006
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,command,sergeant,3253,-0.07240069244336324,"A sergeant commanded a parent. As for the sergeant,",0.3695005178451538,0.0237278547137975,15.572437286376951,2.745502471923828,0.35494800967390006
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,dislike,sergeant,3253,-0.07240069244336324,"A sergeant disliked a parent. As for the sergeant,",0.372788518667221,0.014881819486618,25.049928665161133,3.2208709716796875,0.35494800967390006
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,phone,sergeant,3253,-0.07240069244336324,"A sergeant phoned a parent. As for the sergeant,",0.3638271391391754,0.0409069433808326,8.89401912689209,2.1853790283203125,0.35494800967390006
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,challenge,sergeant,3253,-0.07240069244336324,"A sergeant challenged a parent. As for the sergeant,",0.3922361135482788,0.0203839316964149,19.242416381835938,2.957117080688477,0.35494800967390006
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,surprise,sergeant,3253,-0.07240069244336324,"A sergeant surprised a parent. As for the sergeant,",0.3548362255096435,0.0220773667097091,16.072397232055664,2.7771034240722656,0.35494800967390006
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,hypnotize,sergeant,3253,-0.07240069244336324,"A sergeant hypnotized a parent. As for the sergeant,",0.3751279413700104,0.0196818206459283,19.059616088867188,2.9475717544555664,0.35494800967390006
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,resurrect,sergeant,3253,-0.07240069244336324,"A sergeant resurrected a parent. As for the sergeant,",0.3843323588371277,0.0360630564391613,10.657231330871582,2.366238594055176,0.35494800967390006
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,agitate,sergeant,3253,-0.07240069244336324,"A sergeant agitated a parent. As for the sergeant,",0.3703076243400574,0.033994548022747,10.893147468566896,2.388134002685547,0.35494800967390006
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,shame,sergeant,3253,-0.07240069244336324,"A sergeant shamed a parent. As for the sergeant,",0.3902378678321838,0.0191247016191482,20.4049129486084,3.015775680541992,0.35494800967390006
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,hate,sergeant,3253,-0.07240069244336324,"A sergeant hated a parent. As for the sergeant,",0.3972415626049042,0.0135014662519097,29.422103881835938,3.381746292114258,0.35494800967390006
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,bother,sergeant,3253,-0.07240069244336324,"A sergeant bothered a parent. As for the sergeant,",0.3741714060306549,0.0203730426728725,18.366004943847656,2.910501480102539,0.35494800967390006
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,distract,sergeant,3253,-0.07240069244336324,"A sergeant distracted a parent. As for the sergeant,",0.354324072599411,0.0248107332736253,14.281079292297363,2.658935546875,0.35494800967390006
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,acknowledge,soldier,10701,-0.016796753939944287,"A soldier acknowledged a parent. As for the soldier,",0.3477367460727691,0.0137271396815776,25.332061767578125,3.2320709228515625,0.943038249057678
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,intrigue,soldier,10701,-0.016796753939944287,"A soldier intrigued a parent. As for the soldier,",0.4171301424503326,0.0287532806396484,14.507219314575195,2.674646377563477,0.943038249057678
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,direct,soldier,10701,-0.016796753939944287,"A soldier directed a parent. As for the soldier,",0.4293934106826782,0.0192424617707729,22.314891815185547,3.1052541732788086,0.943038249057678
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,compliment,soldier,10701,-0.016796753939944287,"A soldier complimented a parent. As for the soldier,",0.5370944738388062,0.0113075608387589,47.49869918823242,3.8607022762298575,0.943038249057678
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,commend,soldier,10701,-0.016796753939944287,"A soldier commended a parent. As for the soldier,",0.492465078830719,0.0116238724440336,42.366695404052734,3.7463626861572266,0.943038249057678
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,alarm,soldier,10701,-0.016796753939944287,"A soldier alarmed a parent. As for the soldier,",0.4120687842369079,0.0208163280040025,19.795459747314453,2.985452651977539,0.943038249057678
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,intimidate,soldier,10701,-0.016796753939944287,"A soldier intimidated a parent. As for the soldier,",0.3546568155288696,0.0179574452340602,19.74984741210937,2.9831457138061523,0.943038249057678
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,rush,soldier,10701,-0.016796753939944287,"A soldier rushed a parent. As for the soldier,",0.4470082223415375,0.0187465548515319,23.844820022583008,3.171566963195801,0.943038249057678
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,command,soldier,10701,-0.016796753939944287,"A soldier commanded a parent. As for the soldier,",0.4731424152851105,0.0158130563795566,29.920995712280277,3.3985605239868164,0.943038249057678
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,dislike,soldier,10701,-0.016796753939944287,"A soldier disliked a parent. As for the soldier,",0.447307676076889,0.0113481450825929,39.41680908203125,3.674192428588867,0.943038249057678
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,phone,soldier,10701,-0.016796753939944287,"A soldier phoned a parent. As for the soldier,",0.4670125246047973,0.0282599460333585,16.525598526000977,2.804910659790039,0.943038249057678
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,challenge,soldier,10701,-0.016796753939944287,"A soldier challenged a parent. As for the soldier,",0.4486827254295349,0.0172904003411531,25.94981575012207,3.25616455078125,0.943038249057678
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,surprise,soldier,10701,-0.016796753939944287,"A soldier surprised a parent. As for the soldier,",0.4339697659015655,0.0165928229689598,26.15406608581543,3.264004707336426,0.943038249057678
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,hypnotize,soldier,10701,-0.016796753939944287,"A soldier hypnotized a parent. As for the soldier,",0.4219017326831817,0.0113306185230612,37.23554611206055,3.617263793945313,0.943038249057678
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,resurrect,soldier,10701,-0.016796753939944287,"A soldier resurrected a parent. As for the soldier,",0.4125919342041015,0.0177698712795972,23.2186222076416,3.1449546813964844,0.943038249057678
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,agitate,soldier,10701,-0.016796753939944287,"A soldier agitated a parent. As for the soldier,",0.4469461143016815,0.0225270017981529,19.84046173095703,2.9877233505249023,0.943038249057678
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,shame,soldier,10701,-0.016796753939944287,"A soldier shamed a parent. As for the soldier,",0.4326421618461609,0.0091086085885763,47.49816131591797,3.8606910705566406,0.943038249057678
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,hate,soldier,10701,-0.016796753939944287,"A soldier hated a parent. As for the soldier,",0.4604974687099457,0.0090033775195479,51.14719009399414,3.9347076416015625,0.943038249057678
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,bother,soldier,10701,-0.016796753939944287,"A soldier bothered a parent. As for the soldier,",0.4608168303966522,0.0160624254494905,28.689119338989254,3.356518030166626,0.943038249057678
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,distract,soldier,10701,-0.016796753939944287,"A soldier distracted a parent. As for the soldier,",0.3911067843437195,0.0176261514425277,22.18900680541992,3.0995969772338867,0.943038249057678
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,acknowledge,CEO,15970,-0.19028927085087383,"A CEO acknowledged a parent. As for the CEO,",0.1724977046251297,0.0607819072902202,2.837977886199951,1.0430917739868164,1.140774637700584
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,intrigue,CEO,15970,-0.19028927085087383,"A CEO intrigued a parent. As for the CEO,",0.2345983982086181,0.096437968313694,2.432635307312012,0.8889751434326172,1.140774637700584
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,direct,CEO,15970,-0.19028927085087383,"A CEO directed a parent. As for the CEO,",0.2311780750751495,0.0899071097373962,2.5712993144989014,0.9444113373756408,1.140774637700584
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,compliment,CEO,15970,-0.19028927085087383,"A CEO complimented a parent. As for the CEO,",0.3115545809268951,0.0564202181994915,5.522037982940674,1.7087470293045044,1.140774637700584
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,commend,CEO,15970,-0.19028927085087383,"A CEO commended a parent. As for the CEO,",0.2417726516723632,0.0739832371473312,3.2679383754730225,1.184159278869629,1.140774637700584
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,alarm,CEO,15970,-0.19028927085087383,"A CEO alarmed a parent. As for the CEO,",0.2377061694860458,0.0756219699978828,3.143347978591919,1.1452884674072266,1.140774637700584
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,intimidate,CEO,15970,-0.19028927085087383,"A CEO intimidated a parent. As for the CEO,",0.1995957344770431,0.089972399175167,2.2184107303619385,0.7967910766601562,1.140774637700584
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,rush,CEO,15970,-0.19028927085087383,"A CEO rushed a parent. As for the CEO,",0.2609743177890777,0.0585462972521781,4.457571506500244,1.4946041107177734,1.140774637700584
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,command,CEO,15970,-0.19028927085087383,"A CEO commanded a parent. As for the CEO,",0.2155013680458068,0.0652078911662101,3.304835557937622,1.19538676738739,1.140774637700584
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,dislike,CEO,15970,-0.19028927085087383,"A CEO disliked a parent. As for the CEO,",0.27498659491539,0.048496376723051,5.670249938964844,1.735233187675476,1.140774637700584
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,phone,CEO,15970,-0.19028927085087383,"A CEO phoned a parent. As for the CEO,",0.2827100753784179,0.114190898835659,2.4757673740386963,0.906550407409668,1.140774637700584
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,challenge,CEO,15970,-0.19028927085087383,"A CEO challenged a parent. As for the CEO,",0.2466671168804168,0.0656844675540924,3.7553341388702393,1.3231772184371948,1.140774637700584
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,surprise,CEO,15970,-0.19028927085087383,"A CEO surprised a parent. As for the CEO,",0.2642601132392883,0.0937951281666755,2.817418575286865,1.0358210802078247,1.140774637700584
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,hypnotize,CEO,15970,-0.19028927085087383,"A CEO hypnotized a parent. As for the CEO,",0.2834039032459259,0.058066327124834,4.880692958831787,1.5852872133255005,1.140774637700584
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,resurrect,CEO,15970,-0.19028927085087383,"A CEO resurrected a parent. As for the CEO,",0.2045646756887436,0.0597788505256176,3.4220242500305176,1.2302322387695312,1.140774637700584
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,agitate,CEO,15970,-0.19028927085087383,"A CEO agitated a parent. As for the CEO,",0.2529825866222381,0.1018889397382736,2.4829249382019043,0.9094372987747192,1.140774637700584
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,shame,CEO,15970,-0.19028927085087383,"A CEO shamed a parent. As for the CEO,",0.2199422568082809,0.0744046866893768,2.956026792526245,1.083846092224121,1.140774637700584
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,hate,CEO,15970,-0.19028927085087383,"A CEO hated a parent. As for the CEO,",0.3002754747867584,0.0469278693199157,6.398659706115723,1.8560885190963743,1.140774637700584
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,bother,CEO,15970,-0.19028927085087383,"A CEO bothered a parent. As for the CEO,",0.3298422992229461,0.0616045258939266,5.354189395904541,1.6778793334960938,1.140774637700584
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,distract,CEO,15970,-0.19028927085087383,"A CEO distracted a parent. As for the CEO,",0.2386075109243393,0.0679952278733253,3.5091803073883057,1.2553825378417969,1.140774637700584
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,acknowledge,administrator,8523,-0.12382762307129025,"An administrator acknowledged a parent. As for the administrator,",0.159241646528244,0.0767907500267028,2.0737087726593018,0.7293387055397034,0.8306469670357871
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,intrigue,administrator,8523,-0.12382762307129025,"An administrator intrigued a parent. As for the administrator,",0.2112189084291458,0.0801768451929092,2.6344127655029297,0.968660295009613,0.8306469670357871
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,direct,administrator,8523,-0.12382762307129025,"An administrator directed a parent. As for the administrator,",0.2224543839693069,0.0789939537644386,2.816093921661377,1.0353507995605469,0.8306469670357871
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,compliment,administrator,8523,-0.12382762307129025,"An administrator complimented a parent. As for the administrator,",0.2458864450454712,0.0712870433926582,3.449244260787964,1.2381551265716553,0.8306469670357871
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,commend,administrator,8523,-0.12382762307129025,"An administrator commended a parent. As for the administrator,",0.2121142148971557,0.0821953117847442,2.5806121826171875,0.9480266571044922,0.8306469670357871
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,alarm,administrator,8523,-0.12382762307129025,"An administrator alarmed a parent. As for the administrator,",0.1758080273866653,0.085652083158493,2.0525832176208496,0.7190991044044495,0.8306469670357871
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,intimidate,administrator,8523,-0.12382762307129025,"An administrator intimidated a parent. As for the administrator,",0.207684651017189,0.092134453356266,2.25414776802063,0.8127719759941101,0.8306469670357871
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,rush,administrator,8523,-0.12382762307129025,"An administrator rushed a parent. As for the administrator,",0.2287025600671768,0.0693301483988761,3.298746109008789,1.19354248046875,0.8306469670357871
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,command,administrator,8523,-0.12382762307129025,"An administrator commanded a parent. As for the administrator,",0.2710410356521606,0.059367049485445,4.5655131340026855,1.5185309648513794,0.8306469670357871
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,dislike,administrator,8523,-0.12382762307129025,"An administrator disliked a parent. As for the administrator,",0.2265028655529022,0.0615869797766208,3.677771806716919,1.30230712890625,0.8306469670357871
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,phone,administrator,8523,-0.12382762307129025,"An administrator phoned a parent. As for the administrator,",0.1721737682819366,0.1224420890212059,1.4061648845672607,0.3408660590648651,0.8306469670357871
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,challenge,administrator,8523,-0.12382762307129025,"An administrator challenged a parent. As for the administrator,",0.1884570270776748,0.0922586917877197,2.0427021980285645,0.7142735123634338,0.8306469670357871
