target_model,best_model_name,best_model_aic,group,Unnamed: 0,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject],C(valence)[T.-val],C(dominance)[T.-dom]
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance_,6969.46846106249,3,ceo,0.8449433472532554,-0.0181958992794747,-0.0957209502763978,0.092317381656107,0.1288719678759827
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance_,6969.46846106249,4,cleaner,-0.719745914521907,-0.050509185739114,0.33550112491127,-0.1594036864406236,0.1513996573787259
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance_,6969.46846106249,5,cook,-0.0616188271191557,0.0655599705719324,0.3424943768098643,-0.0312002584456513,-0.0126808670951942
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance_,6969.46846106249,6,designer,0.3194514142773953,0.0116071600985181,-0.0139755043793732,0.0466803902892499,0.022337667577672
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance_,6969.46846106249,7,driver,1.2410079339512168,0.0082066440963824,-0.2507998082320187,0.1121390209189374,0.0600716894721472
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance_,6969.46846106249,8,lawyer,1.1500873166659595,0.0516706448103679,0.0285392966877496,0.1234410628944716,0.0689685952204746
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance_,6969.46846106249,9,manager,0.5836905934342561,0.0145584353141665,-0.2091763146891624,0.0598189414441874,-0.0158207536736796
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance_,6969.46846106249,10,receptionist,-1.479741002533186,-0.0232078462599437,0.0858567125260921,-0.1621312385836336,-0.1171883699566262
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance_,6969.46846106249,11,salesperson,0.4991943335904257,0.0028804138964147,-0.104181548379816,0.0611457291670803,0.0242980873289025
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance_,6969.46846106249,12,secretary,-1.6087305795269595,0.0249607154535651,0.0061811452262691,-0.053122481969768,-0.3271034453125484
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance_,6969.46846106249,13,teacher,-0.7320624482234874,-0.0337445473167853,0.0316226144529096,-0.0552486822175443,-0.0589385417780698
google_gemma-3-4b-pt,selected_mixed_random_slopes,4523.5520864519785,0,accountant,-0.1135053513319292,-0.0570132328485842,-0.0545850209420839,-0.0135916715583989,-0.0127610589092139
google_gemma-3-4b-pt,selected_mixed_random_slopes,4523.5520864519785,1,carpenter,1.634097718963885,0.1109091108054355,-0.0390572978575536,0.0957493640259141,0.0357130711576391
google_gemma-3-4b-pt,selected_mixed_random_slopes,4523.5520864519785,2,cashier,-1.5682233222926247,-0.121857716364208,0.1676487763862279,-0.1437419861110101,-0.055447292192321
google_gemma-3-4b-pt,selected_mixed_random_slopes,4523.5520864519785,3,ceo,-0.3862483901953287,0.0395851769614447,0.019703142536909,-0.0484240762343178,0.0582173723316363
google_gemma-3-4b-pt,selected_mixed_random_slopes,4523.5520864519785,4,cleaner,-1.292194322648944,-0.1792572331642484,-0.1738725855804587,-0.0805497264670632,-0.0287954383551594
google_gemma-3-4b-pt,selected_mixed_random_slopes,4523.5520864519785,5,cook,-0.8546956124526333,-0.0519641526401524,0.1195127763135714,-0.0405756450313995,-0.0425474036891495
google_gemma-3-4b-pt,selected_mixed_random_slopes,4523.5520864519785,6,designer,-0.7219564654265228,-0.0365831493647262,0.1512338870899148,-0.0152831551870499,-0.0789714028726788
google_gemma-3-4b-pt,selected_mixed_random_slopes,4523.5520864519785,7,driver,0.4331809872109968,-0.0396747943469843,-0.1448244424363556,0.0509935081745986,0.0042470128872871
google_gemma-3-4b-pt,selected_mixed_random_slopes,4523.5520864519785,8,lawyer,0.2646932895222129,-0.1070490799836806,-0.3620242349263233,0.0831411271586217,-0.0505399067195614
google_gemma-3-4b-pt,selected_mixed_random_slopes,4523.5520864519785,9,manager,-0.3171652371220821,-0.0783831504127586,0.014214266547919,-0.103454681311784,0.0130649622390852
google_gemma-3-4b-pt,selected_mixed_random_slopes,4523.5520864519785,10,receptionist,-2.595693604447967,-0.1208150347741848,-0.0120494172132144,-0.1030969959054996,-0.0545102601366034
google_gemma-3-4b-pt,selected_mixed_random_slopes,4523.5520864519785,11,salesperson,-0.6689346183784743,-0.0759232039833524,0.0508802224940434,-0.0478862303993788,-0.015508938812699
google_gemma-3-4b-pt,selected_mixed_random_slopes,4523.5520864519785,12,secretary,-2.3208902023636924,-0.1607854510355493,-0.0493899479805242,-0.0388788707024446,-0.1418886020973953
google_gemma-3-4b-pt,selected_mixed_random_slopes,4523.5520864519785,13,teacher,-1.4455736620232034,-0.1410755477912884,0.0577717163195802,-0.0358124178233356,-0.1082461160748163
gpt2,selected_mixed_random_slopes,2096.7309869656237,0,accountant,0.3692582401793977,-0.046515985881427,0.0179753414180035,-0.0259604916260951,-0.0111011234126062
gpt2,selected_mixed_random_slopes,2096.7309869656237,1,carpenter,1.900388870265591,-0.0672581624926823,-0.2057880503800087,0.0276664318286965,0.051449938700634
gpt2,selected_mixed_random_slopes,2096.7309869656237,2,cashier,-0.3507281995635585,-0.0853723462846472,-0.0351104238760866,0.0404198998953987,-0.0106998874278648
gpt2,selected_mixed_random_slopes,2096.7309869656237,3,ceo,-0.7250527300010631,-0.1455322266922214,-0.1233758263611478,-0.0206663066144528,-0.1077442302943491
gpt2,selected_mixed_random_slopes,2096.7309869656237,4,cleaner,-0.1432475549042339,-0.1173240712972847,-0.2048630971763663,0.0701799531879194,-0.0148055357014105
gpt2,selected_mixed_random_slopes,2096.7309869656237,5,cook,-0.4218617031736413,-0.1323954335221417,-0.0919321301640222,0.0421251486056711,-0.0356783342353226
gpt2,selected_mixed_random_slopes,2096.7309869656237,6,designer,-0.1107848515395005,-0.0744380356966507,0.0992902773940294,-0.1294056291492219,-0.099616145925693
gpt2,selected_mixed_random_slopes,2096.7309869656237,7,driver,1.33470287312931,-0.1613988146236118,0.1258889606690559,-0.0452947883314235,0.0115314651996134
gpt2,selected_mixed_random_slopes,2096.7309869656237,8,lawyer,0.3186354337147402,-0.0448196219873684,-0.0648703473596241,-0.0681536862630434,-0.057915076335477
gpt2,selected_mixed_random_slopes,2096.7309869656237,9,manager,0.5395825457838362,-0.0671330006305679,0.4142239957527092,-0.0877433946720811,0.0185091281047786
gpt2,selected_mixed_random_slopes,2096.7309869656237,10,receptionist,-1.702772947695163,-0.0410296010811907,-0.1805388509207864,0.0420941684683127,-0.0892413796558516
gpt2,selected_mixed_random_slopes,2096.7309869656237,11,salesperson,-0.3349429728881875,-0.0869965453880688,0.1836246950826615,-0.024682088372724,-0.022284154979499
gpt2,selected_mixed_random_slopes,2096.7309869656237,12,secretary,-0.7394177520508958,-0.3149356268852067,-0.2140397058274325,-0.0974680166206851,-0.2188656797249357
gpt2,selected_mixed_random_slopes,2096.7309869656237,13,teacher,-0.8273534807561498,-0.0658534131397587,-0.0319924189301033,0.0103898491604535,-0.0498513385977261
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,0,accountant,0.3507160457506397,-0.0068519676516743,-0.1236261733383889,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,1,carpenter,1.8961251897312923,0.1841252001976937,-0.1147009010629933,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,2,cashier,-0.5778711069250441,-0.0664032209430261,-0.0051163074049501,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,3,ceo,0.840833883873535,0.1741406265391334,-0.2224028629923409,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,4,cleaner,-0.6627048998709746,-0.0344204833772937,0.0913405769529163,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,5,cook,-0.2030032782623282,-0.0017103115541868,0.5664397934305379,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,6,designer,-0.109878357653813,-0.0203237152763955,0.2484341438304327,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,7,driver,1.085016362452828,0.0892635697722959,-0.2874251065879112,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,8,lawyer,0.4448483686810956,0.0485005426491497,-0.0862214817281531,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,9,manager,0.4525584540652271,0.0956676496614546,-0.1043118440132708,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,10,receptionist,-1.6142158622257077,-0.2021854925338899,-0.1139561997011599,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,11,salesperson,0.7351461958998096,0.050586649920548,-0.4471165622841272,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,12,secretary,-1.8688980021525272,-0.2527243619832975,0.4672028823692549,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,13,teacher,-0.7686729933089841,-0.057664685414197,0.1314600425229962,,
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_syntactic_role_C_semantic_role_,7190.46029937773,0,accountant,0.5914289543681492,0.0070043140174454,-0.1020874020088254,,
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_syntactic_role_C_semantic_role_,7190.46029937773,1,carpenter,2.755485914217379,0.0828118010153982,-0.1595044305428168,,
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_syntactic_role_C_semantic_role_,7190.46029937773,2,cashier,-1.0897032347479498,0.0400104022611031,-0.0091409153486491,,
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_syntactic_role_C_semantic_role_,7190.46029937773,3,ceo,0.7343053849500962,-0.0070559151372658,-0.0873834495318366,,
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_syntactic_role_C_semantic_role_,7190.46029937773,4,cleaner,-0.9361804469391364,-0.0480804933612894,0.3385818865076736,,
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_syntactic_role_C_semantic_role_,7190.46029937773,5,cook,-0.2812582377405981,0.0308327529287252,0.3542561979035591,,
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_syntactic_role_C_semantic_role_,7190.46029937773,6,designer,0.1413451706100578,0.0051782134944801,-0.0037128246350778,,
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_syntactic_role_C_semantic_role_,7190.46029937773,7,driver,1.1257200416302062,-0.0140740231690788,-0.2430302566584889,,
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_syntactic_role_C_semantic_role_,7190.46029937773,8,lawyer,1.0376168971656496,0.0366580781356891,0.0399112078052239,,
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_syntactic_role_C_semantic_role_,7190.46029937773,9,manager,0.4029080110001701,-0.0056756014797282,-0.2013648858177885,,
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_syntactic_role_C_semantic_role_,7190.46029937773,10,receptionist,-1.821740254636902,-0.0441827219636628,0.0938296795126198,,
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_syntactic_role_C_semantic_role_,7190.46029937773,11,salesperson,0.3323806318722095,-0.0081452346452969,-0.0942693454455024,,
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_syntactic_role_C_semantic_role_,7190.46029937773,12,secretary,-1.9980345476955077,-0.0188472807258539,0.0284525226375297,,
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_syntactic_role_C_semantic_role_,7190.46029937773,13,teacher,-0.9942742839560283,-0.0564342913687305,0.045462015616139,,
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_tense_C_semantic_role_,4588.319404038026,0,accountant,0.6175378980701857,0.0159582431617718,-0.0373347992948003,,
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_tense_C_semantic_role_,4588.319404038026,1,carpenter,2.4491481685079663,0.1739460003795363,-0.0219239589566928,,
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_tense_C_semantic_role_,4588.319404038026,2,cashier,-0.926554217734573,-0.036303286293041,0.1788126717478723,,
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_tense_C_semantic_role_,4588.319404038026,3,ceo,0.3702593207442936,0.096635802584052,0.0378498416661541,,
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_tense_C_semantic_role_,4588.319404038026,4,cleaner,-0.605456740178253,-0.1003495341126656,-0.157033670190261,,
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_tense_C_semantic_role_,4588.319404038026,5,cook,-0.1516552604925624,0.0152238767974729,0.1413553190553911,,
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_tense_C_semantic_role_,4588.319404038026,6,designer,-0.026450421131648,0.0383271958314704,0.1698018440086852,,
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_tense_C_semantic_role_,4588.319404038026,7,driver,1.2066503862541529,0.0216772715085715,-0.1200007791233927,,
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_tense_C_semantic_role_,4588.319404038026,8,lawyer,1.0214110701776,-0.0258055413992826,-0.3452138217553063,,
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_tense_C_semantic_role_,4588.319404038026,9,manager,0.3814334398824063,0.0048465870374552,0.0227924371964614,,
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_tense_C_semantic_role_,4588.319404038026,10,receptionist,-1.9296832763231693,-0.0524810266800724,0.0083134402452635,,
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_tense_C_semantic_role_,4588.319404038026,11,salesperson,0.0444047378166501,-0.0112664306808919,0.0741129094027383,,
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_tense_C_semantic_role_,4588.319404038026,12,secretary,-1.672945995644764,-0.0761621494148614,-0.0317550596213561,,
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_tense_C_semantic_role_,4588.319404038026,13,teacher,-0.7780991098700561,-0.0642470087156177,0.0802236256167417,,
he_she_odds_results__gpt2__54292870,selected_mixed__candidate__2__C_dominance_C_semantic_role_,2194.2018635791173,0,accountant,0.4481535351311776,0.053540284968538,0.0413062885266459,,
he_she_odds_results__gpt2__54292870,selected_mixed__candidate__2__C_dominance_C_semantic_role_,2194.2018635791173,1,carpenter,2.036589869872364,0.0335923480962462,-0.1812962444024143,,
he_she_odds_results__gpt2__54292870,selected_mixed__candidate__2__C_dominance_C_semantic_role_,2194.2018635791173,2,cashier,-0.2365571634927699,0.0112641519274189,-0.0126949155269686,,
he_she_odds_results__gpt2__54292870,selected_mixed__candidate__2__C_dominance_C_semantic_role_,2194.2018635791173,3,ceo,-0.6990451567349332,-0.033043687386977,-0.0976964327576099,,
he_she_odds_results__gpt2__54292870,selected_mixed__candidate__2__C_dominance_C_semantic_role_,2194.2018635791173,4,cleaner,-0.0130757681233849,-0.0235799220929291,-0.1863836138363065,,
he_she_odds_results__gpt2__54292870,selected_mixed__candidate__2__C_dominance_C_semantic_role_,2194.2018635791173,5,cook,-0.3235171463013014,-0.0288856929237091,-0.0676798757440644,,
he_she_odds_results__gpt2__54292870,selected_mixed__candidate__2__C_dominance_C_semantic_role_,2194.2018635791173,6,designer,-0.1274794827911679,0.0301625500297829,0.1169075249906079,,
he_she_odds_results__gpt2__54292870,selected_mixed__candidate__2__C_dominance_C_semantic_role_,2194.2018635791173,7,driver,1.4111145669104015,-0.0515770283412018,0.1475996636352638,,
he_she_odds_results__gpt2__54292870,selected_mixed__candidate__2__C_dominance_C_semantic_role_,2194.2018635791173,8,lawyer,0.3551925004957297,0.0548207608176274,-0.0456941191756612,,
he_she_odds_results__gpt2__54292870,selected_mixed__candidate__2__C_dominance_C_semantic_role_,2194.2018635791173,9,manager,0.6008905259034697,0.036278543394783,0.4369559919534199,,
he_she_odds_results__gpt2__54292870,selected_mixed__candidate__2__C_dominance_C_semantic_role_,2194.2018635791173,10,receptionist,-1.6287487913486962,0.0562195001698675,-0.1548391109306806,,
he_she_odds_results__gpt2__54292870,selected_mixed__candidate__2__C_dominance_C_semantic_role_,2194.2018635791173,11,salesperson,-0.2647572475224931,0.0180240430850705,0.209538639053279,,
he_she_odds_results__gpt2__54292870,selected_mixed__candidate__2__C_dominance_C_semantic_role_,2194.2018635791173,12,secretary,-0.810911577981471,-0.1880976295670963,-0.1961636350696823,,
he_she_odds_results__gpt2__54292870,selected_mixed__candidate__2__C_dominance_C_semantic_role_,2194.2018635791173,13,teacher,-0.7478486639604243,0.031281777823386,-0.0098601607119726,,
he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,selected_mixed__candidate__2__C_valence_C_dominance_,5551.970846546523,0,accountant,0.5576300211039464,0.0215679113324583,0.1583862287151964,,
he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,selected_mixed__candidate__2__C_valence_C_dominance_,5551.970846546523,1,carpenter,2.4400505747579206,0.1822115177189218,0.0607463264825163,,
he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,selected_mixed__candidate__2__C_valence_C_dominance_,5551.970846546523,2,cashier,-0.8559144018119038,0.0168603577018161,-0.0101004270875072,,
he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,selected_mixed__candidate__2__C_valence_C_dominance_,5551.970846546523,3,ceo,0.4300504588214479,-0.0009619562669254,-0.0292468250685644,,
he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,selected_mixed__candidate__2__C_valence_C_dominance_,5551.970846546523,4,cleaner,-0.7431907038844123,-0.0399830694600038,-0.0516370402331661,,
he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,selected_mixed__candidate__2__C_valence_C_dominance_,5551.970846546523,5,cook,-0.1024818894882645,0.0343991847795034,-0.0044415924259666,,
he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,selected_mixed__candidate__2__C_valence_C_dominance_,5551.970846546523,6,designer,0.2605938349179653,-0.035779023349154,-0.0070401353082785,,
he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,selected_mixed__candidate__2__C_valence_C_dominance_,5551.970846546523,7,driver,1.0413064881360756,-0.0132646481724923,-0.1243308969101305,,
he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,selected_mixed__candidate__2__C_valence_C_dominance_,5551.970846546523,8,lawyer,0.9932970867052026,-0.07152821009811,0.0984628517600573,,
he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,selected_mixed__candidate__2__C_valence_C_dominance_,5551.970846546523,9,manager,0.5164873413668735,0.0415063407635599,-0.0189994222696461,,
he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,selected_mixed__candidate__2__C_valence_C_dominance_,5551.970846546523,10,receptionist,-2.180999194224697,-0.0248897370167317,0.0889138164118391,,
he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,selected_mixed__candidate__2__C_valence_C_dominance_,5551.970846546523,11,salesperson,0.2215922016182745,-0.0282976947310709,-0.0726698966184775,,
he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,selected_mixed__candidate__2__C_valence_C_dominance_,5551.970846546523,12,secretary,-1.8960502529012728,-0.0647323975290748,0.0132965408333811,,
he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,selected_mixed__candidate__2__C_valence_C_dominance_,5551.970846546523,13,teacher,-0.6823715651175266,-0.0171085756727454,-0.1013395282813618,,
mistralai_Mistral-7B-v0.3,selected_mixed_random_slopes__candidate__0__C_valence_C_dominance_,5524.239998067154,0,accountant,0.4920506837640314,0.0181342711482032,0.1574343367166739,0.0544675108922164,0.0129363900422736
mistralai_Mistral-7B-v0.3,selected_mixed_random_slopes__candidate__0__C_valence_C_dominance_,5524.239998067154,1,carpenter,2.2729494476048013,0.1818088066990292,0.0624209975025454,0.2378275114025766,0.0267366625576691
mistralai_Mistral-7B-v0.3,selected_mixed_random_slopes__candidate__0__C_valence_C_dominance_,5524.239998067154,2,cashier,-0.8233123440785575,0.0148033256898247,-0.0132341595180915,-0.1293131342843904,-0.0005376417490489
mistralai_Mistral-7B-v0.3,selected_mixed_random_slopes__candidate__0__C_valence_C_dominance_,5524.239998067154,3,ceo,0.3644361553792329,-0.0063975858009484,-0.030741485895158,0.0257342384857285,0.045401901831822
mistralai_Mistral-7B-v0.3,selected_mixed_random_slopes__candidate__0__C_valence_C_dominance_,5524.239998067154,4,cleaner,-0.7161479910036355,-0.0411284413113625,-0.054153943250926,-0.1228134501358308,0.0021586276625843
mistralai_Mistral-7B-v0.3,selected_mixed_random_slopes__candidate__0__C_valence_C_dominance_,5524.239998067154,5,cook,-0.1437245394067043,0.0264050903781989,-0.0059244272146234,0.0047652238699741,0.0218948962217967
mistralai_Mistral-7B-v0.3,selected_mixed_random_slopes__candidate__0__C_valence_C_dominance_,5524.239998067154,6,designer,0.2095197461272562,-0.0399806821556668,-0.0082348870899724,0.0093707913238372,0.0304170068400629
mistralai_Mistral-7B-v0.3,selected_mixed_random_slopes__candidate__0__C_valence_C_dominance_,5524.239998067154,7,driver,0.9421289394011232,-0.0172716116737041,-0.1241573033683042,0.0866543013109258,0.048441315051145
mistralai_Mistral-7B-v0.3,selected_mixed_random_slopes__candidate__0__C_valence_C_dominance_,5524.239998067154,8,lawyer,0.8944775926236466,-0.0753533490873848,0.0981556123428776,0.0920509238485188,0.0419197619036262
mistralai_Mistral-7B-v0.3,selected_mixed_random_slopes__candidate__0__C_valence_C_dominance_,5524.239998067154,9,manager,0.4568987727875375,0.0383777853721324,-0.020411045771651,0.0229171236465663,0.0324644850215811
mistralai_Mistral-7B-v0.3,selected_mixed_random_slopes__candidate__0__C_valence_C_dominance_,5524.239998067154,10,receptionist,-2.0884842774290893,-0.0321785404711507,0.0862968832497935,-0.184725979219718,-0.0568126557345649
mistralai_Mistral-7B-v0.3,selected_mixed_random_slopes__candidate__0__C_valence_C_dominance_,5524.239998067154,11,salesperson,0.1741382997882818,-0.0324527900344786,-0.0744701944018883,-0.0120484337440191,0.0449141599741265
mistralai_Mistral-7B-v0.3,selected_mixed_random_slopes__candidate__0__C_valence_C_dominance_,5524.239998067154,12,secretary,-1.783933568176298,-0.0622256581039097,0.0194142759064969,-0.071997295328041,-0.2292448497798919
