run_dir,run_name,input_csv,target_model,model_name,model_dir,fixed_effects_path,formula,re_formula,group_col,optimizer,converged,aic,bic,log_likelihood,nobs,residual_variance,R2m,R2c
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,,Qwen_Qwen3-4B-Base,no_dominance,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df/models/no_dominance,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df/models/no_dominance/fixed_effects.csv,log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence) + C(semantic_role) + C(tense):C(syntactic_role) + C(tense):C(valence) + C(tense):C(semantic_role) + C(syntactic_role):C(valence) + C(syntactic_role):C(semantic_role) + C(valence):C(semantic_role),1 + C(semantic_role) + C(syntactic_role),profession,lbfgs,True,7646.5255936956455,7878.16227043523,-3789.2627968478228,6720,0.1762213939220376,0.038908584795299954,0.8560376469463283
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,,allenai_Olmo-3-1025-7B,no_dominance,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7/models/no_dominance,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7/models/no_dominance/fixed_effects.csv,log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence) + C(semantic_role) + C(tense):C(syntactic_role) + C(tense):C(valence) + C(tense):C(semantic_role) + C(syntactic_role):C(valence) + C(syntactic_role):C(semantic_role) + C(valence):C(semantic_role),1 + C(semantic_role) + C(syntactic_role),profession,lbfgs,True,7253.254778782924,7484.891455522509,-3592.627389391462,6720,0.1663717788635002,0.031442461186410135,0.9015992561912665
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,,google_gemma-3-4b-pt,no_dominance,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__google_gemma-3-4b-pt__ccb39b90/models/no_dominance,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__google_gemma-3-4b-pt__ccb39b90/models/no_dominance/fixed_effects.csv,log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence) + C(semantic_role) + C(tense):C(syntactic_role) + C(tense):C(valence) + C(tense):C(semantic_role) + C(syntactic_role):C(valence) + C(syntactic_role):C(semantic_role) + C(valence):C(semantic_role),1 + C(semantic_role) + C(syntactic_role),profession,lbfgs,True,4811.286996626419,5042.923673366004,-2371.6434983132094,6720,0.1155399421363981,0.04338555684992589,0.9207299791208255
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__gpt2__54292870,he_she_odds_results__gpt2__54292870,,gpt2,no_dominance,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__gpt2__54292870/models/no_dominance,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__gpt2__54292870/models/no_dominance/fixed_effects.csv,log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence) + C(semantic_role) + C(tense):C(syntactic_role) + C(tense):C(valence) + C(tense):C(semantic_role) + C(syntactic_role):C(valence) + C(syntactic_role):C(semantic_role) + C(valence):C(semantic_role),1 + C(semantic_role) + C(syntactic_role),profession,lbfgs,True,2409.7107380164016,2641.3474147559864,-1170.8553690082008,6720,0.08053770490327801,0.014702590937480237,0.9177210641037883
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,,mistralai_Mistral-7B-v0.3,no_dominance,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b/models/no_dominance,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b/models/no_dominance/fixed_effects.csv,log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence) + C(semantic_role) + C(tense):C(syntactic_role) + C(tense):C(valence) + C(tense):C(semantic_role) + C(syntactic_role):C(valence) + C(syntactic_role):C(semantic_role) + C(valence):C(semantic_role),1 + C(semantic_role) + C(syntactic_role),profession,lbfgs,True,5685.1064537477505,5916.743130487335,-2808.5532268738752,6720,0.1317787460736811,0.02976475614872749,0.9170820099535539
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,,Qwen_Qwen3-4B-Base,no_profession,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df/models/no_profession,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df/models/no_profession/fixed_effects.csv,log_he_she_odds ~ C(tense) + C(valence) + C(dominance) + C(syntactic_role) + C(tense):C(valence) + C(tense):C(dominance) + C(tense):C(syntactic_role) + C(valence):C(dominance) + C(valence):C(syntactic_role) + C(dominance):C(syntactic_role),1 + C(syntactic_role),semantic_role,lbfgs,True,20197.120058736415,20408.31820517545,-10067.560029368207,6720,1.1706438897075229,0.03973619553377878,0.04390568263035858
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,,allenai_Olmo-3-1025-7B,no_profession,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7/models/no_profession,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7/models/no_profession/fixed_effects.csv,log_he_she_odds ~ C(tense) + C(valence) + C(dominance) + C(syntactic_role) + C(tense):C(valence) + C(tense):C(dominance) + C(tense):C(syntactic_role) + C(valence):C(dominance) + C(valence):C(syntactic_role) + C(dominance):C(syntactic_role),1 + C(syntactic_role),semantic_role,lbfgs,False,22445.36434611384,22656.562492552875,-11191.68217305692,6720,1.6371530725487398,0.03174071594434321,0.031762610668429704
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,,google_gemma-3-4b-pt,no_profession,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__google_gemma-3-4b-pt__ccb39b90/models/no_profession,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__google_gemma-3-4b-pt__ccb39b90/models/no_profession/fixed_effects.csv,log_he_she_odds ~ C(tense) + C(valence) + C(dominance) + C(syntactic_role) + C(tense):C(valence) + C(tense):C(dominance) + C(tense):C(syntactic_role) + C(valence):C(dominance) + C(valence):C(syntactic_role) + C(dominance):C(syntactic_role),1 + C(syntactic_role),semantic_role,lbfgs,True,21349.428073562973,21560.626220002006,-10643.714036781486,6720,1.390205965242888,0.04485541523408711,0.045796061506863425
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__gpt2__54292870,he_she_odds_results__gpt2__54292870,,gpt2,no_profession,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__gpt2__54292870/models/no_profession,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__gpt2__54292870/models/no_profession/fixed_effects.csv,log_he_she_odds ~ C(tense) + C(valence) + C(dominance) + C(syntactic_role) + C(tense):C(valence) + C(tense):C(dominance) + C(tense):C(syntactic_role) + C(valence):C(dominance) + C(valence):C(syntactic_role) + C(dominance):C(syntactic_role),1 + C(syntactic_role),semantic_role,lbfgs,False,18874.058618026,19085.256764465033,-9406.029309013,6720,0.9615702750434112,0.01412435727470811,0.016981009217834415
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,,mistralai_Mistral-7B-v0.3,no_profession,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b/models/no_profession,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b/models/no_profession/fixed_effects.csv,log_he_she_odds ~ C(tense) + C(valence) + C(dominance) + C(syntactic_role) + C(tense):C(valence) + C(tense):C(dominance) + C(tense):C(syntactic_role) + C(valence):C(dominance) + C(valence):C(syntactic_role) + C(dominance):C(syntactic_role),1 + C(syntactic_role),semantic_role,lbfgs,False,22035.690987777183,22246.889134216217,-10986.845493888592,6720,1.5395258682222992,0.029628514787943136,0.031127281961101774
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,,Qwen_Qwen3-4B-Base,no_semantic_role,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df/models/no_semantic_role,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df/models/no_semantic_role/fixed_effects.csv,log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence) + C(dominance) + C(tense):C(syntactic_role) + C(tense):C(valence) + C(tense):C(dominance) + C(syntactic_role):C(valence) + C(syntactic_role):C(dominance) + C(valence):C(dominance),1 + C(syntactic_role),profession,lbfgs,True,7733.302841215176,7944.500987654209,-3835.651420607588,6720,0.17890624815794054,0.03979094807035228,0.8536814309063919
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,,allenai_Olmo-3-1025-7B,no_semantic_role,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7/models/no_semantic_role,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7/models/no_semantic_role/fixed_effects.csv,log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence) + C(dominance) + C(tense):C(syntactic_role) + C(tense):C(valence) + C(tense):C(dominance) + C(syntactic_role):C(valence) + C(syntactic_role):C(dominance) + C(valence):C(dominance),1 + C(syntactic_role),profession,lbfgs,True,7237.4488098531,7448.646956292133,-3587.72440492655,6720,0.16637939919437505,0.03199489923509301,0.9008126832500895
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,,google_gemma-3-4b-pt,no_semantic_role,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__google_gemma-3-4b-pt__ccb39b90/models/no_semantic_role,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__google_gemma-3-4b-pt__ccb39b90/models/no_semantic_role/fixed_effects.csv,log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence) + C(dominance) + C(tense):C(syntactic_role) + C(tense):C(valence) + C(tense):C(dominance) + C(syntactic_role):C(valence) + C(syntactic_role):C(dominance) + C(valence):C(dominance),1 + C(syntactic_role),profession,lbfgs,True,4746.112912457982,4957.311058897015,-2342.056456228991,6720,0.11475973677022706,0.04524222537833707,0.9205524190779549
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__gpt2__54292870,he_she_odds_results__gpt2__54292870,,gpt2,no_semantic_role,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__gpt2__54292870/models/no_semantic_role,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__gpt2__54292870/models/no_semantic_role/fixed_effects.csv,log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence) + C(dominance) + C(tense):C(syntactic_role) + C(tense):C(valence) + C(tense):C(dominance) + C(syntactic_role):C(valence) + C(syntactic_role):C(dominance) + C(valence):C(dominance),1 + C(syntactic_role),profession,lbfgs,True,2515.2207090945085,2726.4188555335413,-1226.6103545472542,6720,0.08222411445313295,0.01411932270671528,0.9159717626985252
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,,mistralai_Mistral-7B-v0.3,no_semantic_role,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b/models/no_semantic_role,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b/models/no_semantic_role/fixed_effects.csv,log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence) + C(dominance) + C(tense):C(syntactic_role) + C(tense):C(valence) + C(tense):C(dominance) + C(syntactic_role):C(valence) + C(syntactic_role):C(dominance) + C(valence):C(dominance),1 + C(syntactic_role),profession,lbfgs,True,5727.923753464871,5939.121899903904,-2832.9618767324355,6720,0.13311161221573994,0.029622566290038222,0.9162454367758082
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,,Qwen_Qwen3-4B-Base,no_syntactic_role,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df/models/no_syntactic_role,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df/models/no_syntactic_role/fixed_effects.csv,log_he_she_odds ~ C(tense) + C(valence) + C(dominance) + C(semantic_role) + C(tense):C(valence) + C(tense):C(dominance) + C(tense):C(semantic_role) + C(valence):C(dominance) + C(valence):C(semantic_role) + C(dominance):C(semantic_role),1 + C(semantic_role),profession,lbfgs,True,9013.16000348876,9224.358149927793,-4475.58000174438,6720,0.21801489084369843,0.02018643964388587,0.8205183592539392
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,,allenai_Olmo-3-1025-7B,no_syntactic_role,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7/models/no_syntactic_role,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7/models/no_syntactic_role/fixed_effects.csv,log_he_she_odds ~ C(tense) + C(valence) + C(dominance) + C(semantic_role) + C(tense):C(valence) + C(tense):C(dominance) + C(tense):C(semantic_role) + C(valence):C(dominance) + C(valence):C(semantic_role) + C(dominance):C(semantic_role),1 + C(semantic_role),profession,lbfgs,False,8129.795785383532,8340.993931822566,-4033.897892691766,6720,0.18933988994453194,0.01919957490756566,0.9028541125759733
