target_model,model,model_key,model_dir,formula,model_type,optimizer,converged,nobs,aic,bic,log_likelihood,residual_variance,R2m,R2c,warnings,fixed_effect_variance_C(semantic_role),"fixed_effect_variance_C(valence, Treatment(reference='-val'))","fixed_effect_variance_C(dominance, Treatment(reference='-dom'))","fixed_effect_variance_C(semantic_role):C(valence, Treatment(reference='-val'))","fixed_effect_variance_C(semantic_role):C(dominance, Treatment(reference='-dom'))","fixed_effect_variance_C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom'))",fixed_effect_variance_male_perc,fixed_effect_variance_male_perc:C(semantic_role),"fixed_effect_variance_male_perc:C(valence, Treatment(reference='-val'))","fixed_effect_variance_male_perc:C(dominance, Treatment(reference='-dom'))",fixed_effect_variance_C(syntactic_role),fixed_effect_variance_C(tense),fixed_effect_variance_C(semantic_role):C(tense),"fixed_effect_variance_C(valence, Treatment(reference='-val')):C(syntactic_role)","fixed_effect_variance_C(dominance, Treatment(reference='-dom')):C(syntactic_role)","fixed_effect_variance_C(dominance, Treatment(reference='-dom')):C(tense)",fixed_effect_variance_male_perc:C(tense),"fixed_effect_variance_C(valence, Treatment(reference='-val')):C(tense)",fixed_effect_variance_C(syntactic_role):C(tense),fixed_effect_variance_male_perc:C(syntactic_role),fixed_effect_variance_C(semantic_role):C(syntactic_role)
allenai_Olmo-3-1025-7B,Human-Perception Model,human_perception,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/knowledge_perception_model_data/runs/he_she_odds_results__allenai_Olmo-3-1025-7B/human_perception/models/selected_model,"log_he_she_odds ~ C(semantic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + C(syntactic_role) + C(tense) + C(semantic_role):C(syntactic_role) + C(semantic_role):C(tense) + C(valence, Treatment(reference='-val')):C(syntactic_role) + C(valence, Treatment(reference='-val')):C(tense) + C(dominance, Treatment(reference='-dom')):C(syntactic_role) + C(dominance, Treatment(reference='-dom')):C(tense) + C(syntactic_role):C(tense) + male_perc + male_perc:C(semantic_role) + male_perc:C(valence, Treatment(reference='-val')) + male_perc:C(dominance, Treatment(reference='-dom')) + male_perc:C(tense)",OLS,closed_form,True,16320,50119.023075292775,50442.429233690535,-25017.511537646387,1.2593192437100214,0.5406777070045081,0.5406777070045081,[],0.002330915989106484,0.006637095011421753,-0.00027135508526903536,,,,1.611507133793483,0.023479533362248922,-0.046955315473564296,-0.031440674307511525,0.011701378026484547,0.010249985070499677,0.0031638617910940297,-0.004443807635935695,-0.0008875055812986757,0.003266368905238497,-0.11502789844278229,0.0006021951729838694,-0.0017690793897666918,,0.006503400036829063
allenai_Olmo-3-1025-7B,World-Knowledge Model,world_knowledge,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/knowledge_perception_model_data/runs/he_she_odds_results__allenai_Olmo-3-1025-7B/world_knowledge/models/selected_model,"log_he_she_odds ~ C(semantic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + male_perc + male_perc:C(semantic_role) + male_perc:C(valence, Treatment(reference='-val')) + male_perc:C(dominance, Treatment(reference='-dom'))",OLS,closed_form,True,16320,50551.69968546463,50613.300858492774,-25267.849842732314,1.2958456267580705,0.5263679090380985,0.5263679090380985,[],0.0006836333236006853,0.0063266392038894255,0.00046964038699479993,,,,1.4869483170868392,0.023479533362248266,-0.04695531547356442,-0.03144067430751214,,,,,,,,,,,
allenai_Olmo-3-1125-32B,Human-Perception Model,human_perception,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/knowledge_perception_model_data/runs/he_she_odds_results__allenai_Olmo-3-1125-32B/human_perception/models/selected_model,"log_he_she_odds ~ C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + C(syntactic_role) + C(tense) + C(semantic_role):C(dominance, Treatment(reference='-dom')) + C(semantic_role):C(syntactic_role) + C(semantic_role):C(tense) + C(dominance, Treatment(reference='-dom')):C(tense) + C(syntactic_role):C(tense) + male_perc + male_perc:C(semantic_role) + male_perc:C(dominance, Treatment(reference='-dom')) + male_perc:C(tense)",OLS,closed_form,True,16320,50648.82413604818,50918.32926804631,-25289.41206802409,1.3014284901894648,0.5715881845295907,0.5715881845295907,[],,0.0032561476212044716,0.00035276969993293324,,0.00019545375872232035,,1.5886300506556121,0.04016282219615598,,0.014053793191114935,0.0776255470481282,0.028555748345645213,-0.0016591040808241005,,,0.015289728414501874,-0.04390333305010867,,-0.0074700581888733145,,0.01766213226054373
allenai_Olmo-3-1125-32B,World-Knowledge Model,world_knowledge,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/knowledge_perception_model_data/runs/he_she_odds_results__allenai_Olmo-3-1125-32B/world_knowledge/models/selected_model,"log_he_she_odds ~ C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + male_perc + male_perc:C(semantic_role) + male_perc:C(valence, Treatment(reference='-val')) + male_perc:C(dominance, Treatment(reference='-dom'))",OLS,closed_form,True,16320,52123.78487036096,52177.68589676059,-26054.89243518048,1.4269702225265049,0.5294539696015593,0.5294539696015593,[],,0.0032561476212044273,0.00326086757404744,,,,1.5859383565818692,0.040162822196156744,-0.04164884357534087,0.014053793191115467,,,,,,,,,,,
google_gemma-3-12b-pt,Human-Perception Model,human_perception,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/knowledge_perception_model_data/runs/he_she_odds_results__google_gemma-3-12b-pt/human_perception/models/selected_model,"log_he_she_odds ~ C(valence, Treatment(reference='-val')) + C(syntactic_role) + C(tense) + C(semantic_role):C(syntactic_role) + C(valence, Treatment(reference='-val')):C(syntactic_role) + C(dominance, Treatment(reference='-dom')):C(syntactic_role) + C(dominance, Treatment(reference='-dom')):C(tense) + C(syntactic_role):C(tense) + male_perc + male_perc:C(tense)",OLS,closed_form,True,16320,47576.24448657608,47799.5487388031,-23759.12224328804,1.0784864388681061,0.5474187073813845,0.5474187073813845,[],,0.0010018098620521918,,,,,1.3274829123056373,,,,0.0017736013132304501,0.009973967085287722,,-0.00040881696501411343,0.002039139772723599,0.0008126935735073071,-0.04413697275637026,,0.00013925585317393682,,0.0035650936623074724
google_gemma-3-12b-pt,World-Knowledge Model,world_knowledge,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/knowledge_perception_model_data/runs/he_she_odds_results__google_gemma-3-12b-pt/world_knowledge/models/selected_model,"log_he_she_odds ~ C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + C(semantic_role):C(valence, Treatment(reference='-val')) + C(semantic_role):C(dominance, Treatment(reference='-dom')) + C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom')) + male_perc + male_perc:C(semantic_role) + male_perc:C(valence, Treatment(reference='-val')) + male_perc:C(dominance, Treatment(reference='-dom'))",OLS,closed_form,True,16320,47824.787845038656,47909.48945795235,-23901.393922519328,1.0962437603964592,0.5394586460202766,0.5394586460202766,[],,0.0002431724883680278,5.869045706679091e-05,0.00042690487256712275,6.4194320577735e-05,0.00043319153438793525,1.3325681509405014,-0.009629057038123933,-0.028394329545277586,-0.012464254466037534,,,,,,,,,,,
google_gemma-3-4b-pt,Human-Perception Model,human_perception,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/knowledge_perception_model_data/runs/he_she_odds_results__google_gemma-3-4b-pt/human_perception/models/selected_model,"log_he_she_odds ~ C(valence, Treatment(reference='-val')) + C(syntactic_role) + C(tense) + C(semantic_role):C(valence, Treatment(reference='-val')) + C(semantic_role):C(syntactic_role) + C(semantic_role):C(tense) + C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom')) + C(valence, Treatment(reference='-val')):C(tense) + C(dominance, Treatment(reference='-dom')):C(tense) + C(syntactic_role):C(tense) + male_perc + male_perc:C(semantic_role) + male_perc:C(syntactic_role) + male_perc:C(tense)",OLS,closed_form,True,16320,44328.444062270544,44644.15007403979,-22123.222031135272,0.8832186564208522,0.5853157411109762,0.5853157411109762,[],,-0.0006387517196710969,,0.001344274055593006,,0.00423434863894238,1.2566416014605473,0.03434939644430073,,,0.04452002981653496,0.012431066412220512,0.0008679418246341002,,,0.00099591111706071,-0.057753028255039064,-0.0005844006388843716,-0.00833617724352487,-0.04823410516102676,0.0037457297602182167
google_gemma-3-4b-pt,World-Knowledge Model,world_knowledge,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/knowledge_perception_model_data/runs/he_she_odds_results__google_gemma-3-4b-pt/world_knowledge/models/selected_model,"log_he_she_odds ~ C(dominance, Treatment(reference='-dom')) + C(semantic_role):C(valence, Treatment(reference='-val')) + C(semantic_role):C(dominance, Treatment(reference='-dom')) + C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom')) + male_perc + male_perc:C(semantic_role) + male_perc:C(valence, Treatment(reference='-val')) + male_perc:C(dominance, Treatment(reference='-dom'))",OLS,closed_form,True,16320,45273.98881250011,45358.690425413806,-22625.994406250054,0.9376210706868859,0.5589617217817688,0.5589617217817688,[],,,-0.0005098367594012095,0.0013475499760008897,0.0002344982623941326,0.004635773919327168,1.1853022011569032,0.03434939644430083,-0.019757984546676186,-0.018010502547435622,,,,,,,,,,,
gpt2,Human-Perception Model,human_perception,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/knowledge_perception_model_data/runs/he_she_odds_results__gpt2/human_perception/models/selected_model,"log_he_she_odds ~ C(semantic_role) + C(valence, Treatment(reference='-val')) + C(tense) + C(semantic_role):C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')):C(tense) + male_perc + male_perc:C(syntactic_role) + male_perc:C(tense)",OLS,closed_form,True,16320,45707.847015701635,45877.25024152903,-22831.923507850817,0.9622333635103252,0.4579158756289248,0.4579158756289248,[],0.0025197832472111095,0.0022587500275453374,,0.00029326611299829034,,,0.731445439492719,,,,,0.013850868769749811,,,,-0.000518554897799081,0.04522222332335151,,,0.016711675848964293,
gpt2,World-Knowledge Model,world_knowledge,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/knowledge_perception_model_data/runs/he_she_odds_results__gpt2/world_knowledge/models/selected_model,"log_he_she_odds ~ C(semantic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + C(semantic_role):C(valence, Treatment(reference='-val')) + C(semantic_role):C(dominance, Treatment(reference='-dom')) + C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom')) + male_perc + male_perc:C(semantic_role) + male_perc:C(dominance, Treatment(reference='-dom'))",OLS,closed_form,True,16320,45985.09759028777,46062.09905657295,-22982.548795143884,0.9794390094384405,0.44781663079746525,0.44781663079746525,[],0.0019781956700492265,0.0018075074237744193,0.0012973293055493086,0.0002932661129982439,0.0003632718081428653,0.0002828383946199617,0.8013062330818748,-0.003491851086436318,,-0.009957063612703035,,,,,,,,,,,
meta-llama_Llama-3.1-70B,Human-Perception Model,human_perception,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/knowledge_perception_model_data/runs/he_she_odds_results__meta-llama_Llama-3.1-70B/human_perception/models/selected_model,"log_he_she_odds ~ C(syntactic_role) + C(tense) + C(dominance, Treatment(reference='-dom')):C(tense) + C(syntactic_role):C(tense) + male_perc + male_perc:C(semantic_role) + male_perc:C(syntactic_role) + male_perc:C(tense)",OLS,closed_form,True,16320,45471.9085881567,45672.11240049817,-22709.95429407835,0.9481903320413813,0.5642049586713378,0.5642049586713378,[],,,,,,,1.1240614414928818,0.029136820335523037,,,0.001511963396888116,0.03208453630232305,,,,0.007229861816304325,-0.03418779702839264,,0.004585866605868969,0.06127764775854174,
meta-llama_Llama-3.1-70B,World-Knowledge Model,world_knowledge,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/knowledge_perception_model_data/runs/he_she_odds_results__meta-llama_Llama-3.1-70B/world_knowledge/models/selected_model,"log_he_she_odds ~ C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + C(semantic_role):C(valence, Treatment(reference='-val')) + C(semantic_role):C(dominance, Treatment(reference='-dom')) + C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom')) + male_perc + male_perc:C(semantic_role) + male_perc:C(valence, Treatment(reference='-val'))",OLS,closed_form,True,16320,46353.52597303613,46430.52743932131,-23166.762986518064,1.001801578875482,0.5391127198314739,0.5391127198314739,[],,-0.0003919660348010506,0.0032181924325314034,0.00025743023212301987,-0.00016452435918412665,0.0003500006690346936,1.1581586014642617,0.02913682033552259,-0.019375549385054296,,,,,,,,,,,,
meta-llama_Llama-3.1-8B,Human-Perception Model,human_perception,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/knowledge_perception_model_data/runs/he_she_odds_results__meta-llama_Llama-3.1-8B/human_perception/models/selected_model,"log_he_she_odds ~ C(syntactic_role) + C(tense) + C(semantic_role):C(syntactic_role) + C(semantic_role):C(tense) + C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom')) + C(dominance, Treatment(reference='-dom')):C(tense) + C(syntactic_role):C(tense) + male_perc + male_perc:C(semantic_role) + male_perc:C(syntactic_role) + male_perc:C(tense)",OLS,closed_form,True,16320,47313.91125929377,47583.4163912919,-23621.955629646884,1.0608997279306667,0.5643722431140248,0.5643722431140248,[],,,,,,0.0010171921055585282,1.3696220889429533,0.02579398130899323,,,0.027471016862953564,0.016557302841881286,0.0015239041230748383,,,0.003296321182360147,-0.1111263244458249,,-0.0034713334126280485,0.036506229516483434,0.004381779484439847
meta-llama_Llama-3.1-8B,World-Knowledge Model,world_knowledge,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/knowledge_perception_model_data/runs/he_she_odds_results__meta-llama_Llama-3.1-8B/world_knowledge/models/selected_model,"log_he_she_odds ~ C(semantic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom')) + male_perc + male_perc:C(semantic_role) + male_perc:C(valence, Treatment(reference='-val'))",OLS,closed_form,True,16320,48104.530899124715,48166.13207215286,-24044.265449562357,1.1154014755812014,0.5412333172054282,0.5412333172054282,[],6.377982571998004e-06,-0.0002595597225467886,0.0008250271208613802,,,0.0009682953619205086,1.3192833650875515,0.025793981308992676,-0.031278970416576055,,,,,,,,,,,,
mistralai_Mistral-7B-v0.3,Human-Perception Model,human_perception,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/knowledge_perception_model_data/runs/he_she_odds_results__mistralai_Mistral-7B-v0.3/human_perception/models/selected_model,"log_he_she_odds ~ C(semantic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + C(syntactic_role) + C(tense) + C(semantic_role):C(dominance, Treatment(reference='-dom')) + C(semantic_role):C(syntactic_role) + C(semantic_role):C(tense) + C(valence, Treatment(reference='-val')):C(tense) + C(dominance, Treatment(reference='-dom')):C(tense) + C(syntactic_role):C(tense) + male_perc + male_perc:C(semantic_role) + male_perc:C(valence, Treatment(reference='-val')) + male_perc:C(syntactic_role) + male_perc:C(tense)",OLS,closed_form,True,16320,47739.0267011319,48054.73271290115,-23828.51335056595,1.088498582373395,0.5393187923225136,0.5393187923225136,[],0.0003516273152452694,0.00032692705295100265,0.0005351492157228794,,0.0007837599161077773,,1.2869965145399649,0.03076711419973187,-0.04298201092561991,,0.0007842157369646105,0.01709277330774952,0.0016041260367081391,,,0.005446787550487758,-0.06480872746047685,-0.002332875647058354,0.004298754959731595,0.029390759246965638,0.0029252626408055
mistralai_Mistral-7B-v0.3,World-Knowledge Model,world_knowledge,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/knowledge_perception_model_data/runs/he_she_odds_results__mistralai_Mistral-7B-v0.3/world_knowledge/models/selected_model,"log_he_she_odds ~ C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + C(semantic_role):C(valence, Treatment(reference='-val')) + C(semantic_role):C(dominance, Treatment(reference='-dom')) + male_perc + male_perc:C(semantic_role) + male_perc:C(valence, Treatment(reference='-val'))",OLS,closed_form,True,16320,48153.40871793021,48222.71003758687,-24067.704358965104,1.1186785578885667,0.525615153895427,0.525615153895427,[],,9.031075396690109e-05,0.001331349568174861,0.0002112856586032121,0.0007837599161077424,,1.2486787262793408,0.030767114199731563,-0.042982010925619936,,,,,,,,,,,,
